date,store_id,order_id,product_id,product_name,category,qty,price,discount,cost
2026-01-17,S06,ORD1041,P011,Тушь 581,Косметика,3,154.87,0.13,64.99
2026-01-05,S03,ORD1042,P001,Машинка 380,Игрушки,7,101.55,0.07,55.66
2025-12-31,S04,ORD1043,P023,Мяч 526,Спорттовары,2,147.74,0.29,63.9
2026-01-08,S04,ORD1043,P024,Молоко 535,Продукты,9,143.18,0.06,95.23
2026-01-08,S01,ORD1043,P019,Ракетка 236,,8,43.57,0.29,29.35
2026-01-19,S03,ORD1043,P017,Пазл 934,Игрушки,10,97.03,0.21,48.73
2026-01-13,S01,ORD1043,P022,Ноутбук 326,Электроника,5,906.38,0.27,666.64
2026-01-19,S01,ORD1044,P019,Ракетка 236,Спорттовары,6,44.32,0.25,29.35
2025-12-28,S04,ORD1044,P013,Обувь 452,Одежда,4,311.84,0.29,164.56
2026-01-25,S06,ORD1045,P012,Кукла 282,Игрушки,1,173.5,0.26,95.39
2026-01-12,S03,ORD1045,P014,Велосипед 249,Спорттовары,4,236.73,0.01,89.42
2025-12-31,S02,ORD1045,P012,Кукла 282,Игрушки,9,187.76,0.04,95.39
2026-01-20,S06,ORD1045,P021,Пазл 94,Игрушки,5,38.98,0.09,23.01
2026-01-27,S02,ORD1045,P004,Учебник 814,Книги,1,112.14,0.17,46.39
2026-01-02,S03,ORD1045,P025,Шампунь 336,Косметика,6,146.29,0.06,68.33
2026-01-13,S06,ORD1045,P010,Сыр 218,Продукты,6,93.38,0.29,46.52
2026-01-11,S03,ORD1045,P029,Джинсы 267,Одежда,1,105.95,0.02,65.05
2026-01-25,S05,ORD1046,P021,Пазл 94,Игрушки,4,39.22,0.15,23.01
2026-01-02,S04,ORD1046,P023,Мяч 526,Спорттовары,1,146.07,0.27,63.9
2026-01-19,S02,ORD1046,P008,Планшет 671,Электроника,10,179.61,0.25,106.93
2026-01-09,S05,ORD1046,P005,Тушь 56,Косметика,8,80.93,0.02,54.42
2025-12-28,S01,ORD1046,P004,Учебник 814,Книги,10,101.96,0.06,46.39
2026-01-19,S05,ORD1047,P029,Джинсы 267,Одежда,3,104.3,0.13,65.05
2026-01-15,S01,ORD1047,P018,Детектив 359,Книги,6,162.38,0.15,81.01
2026-01-19,S06,ORD1047,P018,Детектив 359,Книги,6,158.63,0.16,81.01
2026-01-19,S04,ORD1048,P006,Молоко 255,Продукты,10,63.71,0.14,37.77
2026-01-25,S04,ORD1049,P008,Планшет 671,Электроника,5,183.66,0.16,106.93
2026-01-03,S03,ORD1050,P026,Тушь 576,Косметика,10,82.26,0.14,56.91
2026-01-26,S06,ORD1050,P014,Велосипед 249,Спорттовары,1,221.57,0.16,89.42
2026-01-05,S01,ORD1051,P005,Тушь 56,Косметика,1,85.6,0.0,54.42
2026-01-06,S01,ORD1051,P018,Детектив 359,Книги,5,141.13,0.27,81.01
2026-01-15,S04,ORD1051,P015,Пазл 138,Игрушки,7,154.95,0.26,73.72
2026-01-27,S04,ORD1051,P012,Кукла 282,Игрушки,1,159.47,0.15,95.39
2026-01-07,S05,ORD1051,P003,Велосипед 587,Спорттовары,9,49.62,0.18,27.34
2026-01-15,S01,ORD1051,P007,Планшет 460,Электроника,10,534.81,0.11,335.42
2025-12-29,S06,ORD1051,P030,Учебник 722,Книги,2,122.48,0.21,70.51
2026-01-13,S02,ORD1051,P028,Фрукты 831,Продукты,3,132.64,0.12,74.65
2025-12-31,S05,ORD1052,P013,Обувь 452,Одежда,8,294.24,0.29,164.56
2025-12-28,S03,ORD1052,P005,Тушь 56,Косметика,8,84.89,0.02,54.42
2026-01-13,S03,ORD1052,P019,Ракетка 236,Спорттовары,2,38.69,0.28,29.35
2025-12-28,S05,ORD1052,P005,Тушь 56,Косметика,6,77.17,0.1,54.42
2025-12-31,S06,ORD1052,P021,Пазл 94,Игрушки,1,45.56,0.2,23.01
2026-01-14,S01,ORD1053,P010,Сыр 218,Продукты,10,96.14,0.04,46.52
2025-12-28,S02,ORD1054,P030,Учебник 722,Книги,3,130.31,0.22,70.51
2026-01-26,S06,ORD1055,P010,Сыр 218,Продукты,3,91.72,0.28,46.52
2026-01-12,S03,ORD1056,P030,Учебник 722,Книги,7,130.85,0.12,70.51
2026-01-27,S03,ORD1056,P009,Ракетка 885,Спорттовары,2,134.85,0.04,64.37
2026-01-27,S01,ORD1057,P022,Ноутбук 326,Электроника,9,880.23,0.04,666.64
2026-01-26,S01,ORD1057,P021,Пазл 94,Игрушки,2,44.89,0.16,23.01
2026-01-25,S02,ORD1057,P002,Велосипед 20,Спорттовары,8,176.29,0.12,70.77
2026-01-26,S04,ORD1057,P006,Молоко 255,Продукты,8,59.86,0.07,37.77
2026-01-06,S04,ORD1058,P008,Планшет 671,Электроника,8,173.22,0.18,106.93
2025-12-28,S06,ORD1058,P027,Духи 975,Косметика,7,75.22,0.27,38.66
2026-01-01,S02,ORD1058,P015,Пазл 138,Игрушки,3,150.22,0.25,73.72
2026-01-07,S02,ORD1058,P029,Джинсы 267,Одежда,2,89.94,0.0,65.05
2026-01-26,S06,ORD1058,P029,Джинсы 267,Одежда,6,92.39,0.0,65.05
2026-01-02,S05,ORD1059,P001,Машинка 380,,2,109.47,0.25,55.66
2026-01-08,S01,ORD1060,P027,Духи 975,Косметика,1,72.54,0.12,38.66
2026-01-22,S01,ORD1060,P014,Велосипед 249,Спорттовары,4,234.28,0.23,89.42
2026-01-02,S02,ORD1061,P022,Ноутбук 326,Электроника,4,871.26,0.22,666.64
2026-01-12,S04,ORD1061,P014,Велосипед 249,Спорттовары,8,233.92,0.22,89.42
2026-01-13,S02,ORD1062,P024,Молоко 535,Продукты,2,136.23,0.14,95.23
2026-01-12,S01,ORD1063,P028,Фрукты 831,Продукты,2,133.04,0.21,74.65
2026-01-05,S01,ORD1063,P009,Ракетка 885,,3,137.37,0.06,64.37
2025-12-29,S04,ORD1063,P004,Учебник 814,Книги,8,93.51,0.23,46.39
2026-01-20,S02,ORD1064,P029,Джинсы 267,Одежда,3,97.28,0.06,65.05
2026-01-06,S03,ORD1064,P012,Кукла 282,Игрушки,5,169.79,0.12,95.39
2026-01-17,S03,ORD1064,P007,Планшет 460,Электроника,3,555.45,0.0,335.42
2026-01-02,S01,ORD1064,P011,Тушь 581,Косметика,6,158.39,0.06,64.99
2026-01-27,S02,ORD1064,P001,Машинка 380,Игрушки,3,105.46,0.16,55.66
2026-01-09,S05,ORD1064,P009,Ракетка 885,Спорттовары,6,124.23,0.13,64.37
2026-01-18,S05,ORD1065,P017,Пазл 934,Игрушки,3,107.67,0.06,48.73
2026-01-04,S05,ORD1065,P028,Фрукты 831,Продукты,10,138.98,0.25,74.65
2026-01-14,S03,ORD1066,P024,Молоко 535,Продукты,6,135.75,0.27,95.23
2026-01-05,S01,ORD1066,P001,Машинка 380,Игрушки,3,112.32,0.15,55.66
2026-01-26,S06,ORD1066,P008,Планшет 671,Электроника,3,164.7,0.06,106.93
2026-01-27,S03,ORD1066,P005,Тушь 56,Косметика,2,86.57,0.0,54.42
2026-01-10,S02,ORD1067,P030,Учебник 722,Книги,6,138.58,0.07,70.51
2026-01-23,S01,ORD1067,P025,Шампунь 336,Косметика,2,155.67,0.19,68.33
2026-01-26,S03,ORD1067,P025,Шампунь 336,Косметика,9,155.15,0.01,68.33
2026-01-19,S04,ORD1067,P017,Пазл 934,Игрушки,5,114.32,0.2,48.73
2026-01-25,S06,ORD1067,P001,Машинка 380,,10,102.11,0.22,55.66
2026-01-27,S02,ORD1067,P008,Планшет 671,Электроника,8,181.32,0.28,106.93
2026-01-15,S04,ORD1067,P013,Обувь 452,Одежда,6,272.35,0.19,164.56
2026-01-26,S03,ORD1067,P028,Фрукты 831,Продукты,3,137.56,0.03,74.65
2026-01-04,S03,ORD1068,P019,Ракетка 236,Спорттовары,-2,42.92,0.15,29.35
2026-01-23,S01,ORD1068,P002,Велосипед 20,Спорттовары,1,187.45,0.05,70.77
2026-01-13,S04,ORD1068,P016,Футболка 476,Одежда,2,83.95,0.19,39.14
2026-01-23,S06,ORD1068,P021,Пазл 94,Игрушки,4,44.99,0.15,23.01
2025-12-28,S06,ORD1068,P013,Обувь 452,,6,291.91,0.18,164.56
2025-12-30,S03,ORD1068,P018,Детектив 359,Книги,3,156.03,0.22,81.01
2026-01-10,S01,ORD1068,P008,Планшет 671,Электроника,1,168.72,0.01,106.93
2026-01-14,S02,ORD1069,P024,Молоко 535,Продукты,7,135.63,0.19,95.23
2026-01-21,S05,ORD1070,P002,Велосипед 20,Спорттовары,10,179.89,0.28,70.77
2026-01-24,S03,ORD1070,P007,Планшет 460,Электроника,3,515.19,0.22,335.42
2026-01-18,S04,ORD1070,P016,Футболка 476,,9,84.06,0.29,39.14
2025-12-29,S05,ORD1070,P003,Велосипед 587,Спорттовары,5,51.51,0.04,27.34
2026-01-09,S04,ORD1071,P022,Ноутбук 326,Электроника,1,888.37,0.2,666.64
2026-01-15,S01,ORD1071,P025,Шампунь 336,Косметика,10,135.66,0.01,68.33
2025-12-30,S02,ORD1072,P019,Ракетка 236,Спорттовары,6,39.45,0.27,29.35
2026-01-13,S03,ORD1072,P001,Машинка 380,Игрушки,9,105.11,0.1,55.66
2026-01-09,S06,ORD1073,P007,Планшет 460,Электроника,10,539.42,0.01,335.42
2026-01-26,S01,ORD1074,P010,Сыр 218,Продукты,3,107.52,0.21,46.52
2026-01-21,S03,ORD1074,P014,Велосипед 249,Спорттовары,6,226.29,0.05,89.42
2026-01-11,S03,ORD1074,P013,Обувь 452,Одежда,7,315.23,0.07,164.56
2026-01-08,S01,ORD1074,P013,Обувь 452,Одежда,3,280.5,0.2,164.56
2026-01-05,S05,ORD1074,P018,Детектив 359,Книги,2,160.33,0.13,81.01
2026-01-07,S03,ORD1075,P026,Тушь 576,Косметика,4,74.21,0.26,56.91
2025-12-29,S05,ORD1075,P029,Джинсы 267,Одежда,4,-36.51,0.12,65.05
2026-01-15,S03,ORD1076,P021,Пазл 94,Игрушки,3,38.97,-0.08,23.01
2026-01-26,S04,ORD1076,P020,Сыр 852,Продукты,7,69.95,0.2,41.59
2026-01-06,S06,ORD1076,P012,Кукла 282,Игрушки,1,186.84,0.08,95.39
2025-12-29,S01,ORD1076,P024,Молоко 535,Продукты,4,138.23,0.06,95.23
2026-01-06,S06,ORD1077,P012,Кукла 282,Игрушки,9,181.55,0.06,95.39
2026-01-06,S04,ORD1077,P019,Ракетка 236,Спорттовары,10,42.45,0.06,29.35
2026-01-17,S03,ORD1077,P001,Машинка 380,Игрушки,3,99.14,0.3,55.66
2026-01-01,S04,ORD1077,P020,Сыр 852,Продукты,8,68.69,0.22,41.59
2026-01-21,S02,ORD1078,P001,Машинка 380,Игрушки,5,113.86,0.05,55.66
2026-01-23,S04,ORD1078,P025,Шампунь 336,Косметика,4,133.72,0.1,68.33
2026-01-09,S05,ORD1078,P014,Велосипед 249,Спорттовары,2,224.31,0.03,89.42
2026-01-10,S03,ORD1078,P026,Тушь 576,Косметика,2,74.9,0.02,56.91
2025-12-29,S06,ORD1078,P025,Шампунь 336,Косметика,9,149.3,0.18,68.33
2025-12-30,S06,ORD1078,P005,Тушь 56,Косметика,7,-11.27,0.04,54.42
2026-01-24,S02,ORD1078,P029,Джинсы 267,Одежда,7,102.3,0.21,65.05
2026-01-21,S04,ORD1078,P012,Кукла 282,Игрушки,2,181.48,0.06,95.39
2026-01-03,S02,ORD1078,P013,Обувь 452,Одежда,9,275.19,0.21,164.56
2026-01-20,S06,ORD1078,P022,Ноутбук 326,Электроника,5,978.89,0.22,666.64
2026-01-13,S01,ORD1079,P011,Тушь 581,Косметика,6,134.26,0.16,64.99
2026-01-08,S02,ORD1079,P007,Планшет 460,Электроника,2,487.28,0.17,335.42
2026-01-11,S03,ORD1080,P012,Кукла 282,Игрушки,8,178.9,0.25,95.39
2026-01-02,S01,ORD1080,P013,Обувь 452,Одежда,3,314.61,0.11,164.56
2026-01-02,S03,ORD1080,P001,Машинка 380,Игрушки,9,109.72,0.04,55.66
2026-01-20,S02,ORD1080,P029,Джинсы 267,Одежда,4,98.71,0.22,65.05
2026-01-14,S06,ORD1080,P030,Учебник 722,Книги,3,117.83,0.03,70.51
2026-01-27,S02,ORD1081,P019,Ракетка 236,Спорттовары,1,39.08,0.2,29.35
2026-01-13,S02,ORD1081,P003,Велосипед 587,Спорттовары,4,56.14,0.2,27.34
2026-01-07,S04,ORD1081,P025,Шампунь 336,Косметика,10,135.43,0.02,68.33
2026-01-17,S03,ORD1082,P014,Велосипед 249,Спорттовары,10,210.03,0.24,89.42
2025-12-31,S06,ORD1082,P011,Тушь 581,Косметика,3,131.39,0.13,64.99
2026-01-21,S06,ORD1082,P007,Планшет 460,Электроника,2,529.96,0.15,335.42
2026-01-08,S05,ORD1082,P017,Пазл 934,Игрушки,2,99.09,0.29,48.73
2026-01-10,S03,ORD1082,P025,Шампунь 336,Косметика,4,137.61,0.08,68.33
2026-01-05,S06,ORD1082,P018,Детектив 359,Книги,10,150.95,0.29,81.01
2026-01-27,S03,ORD1082,P020,Сыр 852,Продукты,6,65.65,0.22,41.59
2026-01-10,S05,ORD1082,P020,Сыр 852,Продукты,1,75.7,0.2,41.59
2026-01-06,S04,ORD1082,P018,Детектив 359,Книги,9,145.14,0.3,81.01
2026-01-23,S05,ORD1082,P028,Фрукты 831,Продукты,3,147.62,0.16,74.65
2026-01-26,S02,ORD1082,P002,Велосипед 20,Спорттовары,6,167.63,0.18,70.77
2026-01-01,S01,ORD1082,P006,Молоко 255,Продукты,10,64.13,0.02,37.77
2026-01-26,S03,ORD1083,P003,Велосипед 587,Спорттовары,5,55.55,0.09,27.34
2025-12-29,S01,ORD1083,P024,Молоко 535,Продукты,7,146.19,0.16,95.23
2026-01-16,S02,ORD1084,P017,Пазл 934,Игрушки,5,98.89,0.22,48.73
2026-01-24,S02,ORD1085,P005,Тушь 56,Косметика,10,77.83,1.18,54.42
2026-01-08,S02,ORD1085,P018,Детектив 359,Книги,5,157.74,0.02,81.01
2026-01-20,S04,ORD1085,P026,Тушь 576,Косметика,3,83.16,0.18,56.91
2026-01-08,S03,ORD1085,P028,Фрукты 831,Продукты,7,144.39,0.23,74.65
2026-01-17,S01,ORD1085,P004,Учебник 814,Книги,5,105.39,0.19,46.39
2026-01-02,S01,ORD1086,P006,Молоко 255,Продукты,1,57.58,0.14,37.77
2026-01-13,S02,ORD1086,P030,Учебник 722,Книги,2,129.08,0.04,70.51
2026-01-18,S06,ORD1086,P004,Учебник 814,Книги,5,97.03,0.21,46.39
2026-01-24,S06,ORD1086,P007,Планшет 460,Электроника,6,507.49,0.13,335.42
2026-01-19,S03,ORD1087,P019,Ракетка 236,Спорттовары,9,36.99,0.23,29.35
2026-01-20,S06,ORD1087,P022,Ноутбук 326,Электроника,7,807.37,0.08,666.64
2026-01-14,S05,ORD1087,P005,Тушь 56,Косметика,9,90.34,0.05,54.42
2025-12-29,S06,ORD1088,P010,Сыр 218,Продукты,3,107.63,0.14,46.52
2026-01-03,S01,ORD1088,P024,Молоко 535,Продукты,9,151.66,0.06,95.23
2026-01-18,S04,ORD1088,P024,Молоко 535,Продукты,10,151.54,0.09,95.23
2026-01-15,S04,ORD1089,P010,Сыр 218,Продукты,1,96.05,0.06,46.52
2026-01-14,S04,ORD1089,P006,Молоко 255,Продукты,3,59.94,0.0,37.77
2026-01-27,S04,ORD1089,P019,Ракетка 236,Спорттовары,8,44.19,0.12,29.35
2025-12-28,S01,ORD1089,P023,Мяч 526,Спорттовары,4,136.58,0.19,63.9
2026-01-07,S05,ORD1089,P011,Тушь 581,Косметика,3,-9.51,0.09,64.99
2026-01-20,S04,ORD1090,P022,Ноутбук 326,Электроника,7,814.18,0.2,666.64
2026-01-01,S02,ORD1091,P001,Машинка 380,Игрушки,1,104.49,0.23,55.66
2026-01-04,S06,ORD1091,P004,Учебник 814,Книги,4,95.95,0.08,46.39
2026-01-08,S04,ORD1091,P024,Молоко 535,Продукты,6,145.41,0.09,95.23
2026-01-07,S06,ORD1091,P024,Молоко 535,Продукты,1,127.73,0.07,95.23
2026-01-26,S01,ORD1092,P028,Фрукты 831,Продукты,10,134.85,0.02,74.65
2026-01-11,S01,ORD1092,P030,Учебник 722,Книги,10,119.56,0.04,70.51
2026-01-15,S06,ORD1093,P003,Велосипед 587,Спорттовары,10,51.23,0.11,27.34
2026-01-21,S01,ORD1093,P015,Пазл 138,Игрушки,3,133.98,0.18,73.72
2026-01-08,S03,ORD1093,P013,Обувь 452,Одежда,9,280.2,0.03,164.56
2026-01-20,S03,ORD1093,P008,Планшет 671,Электроника,4,160.97,0.25,106.93
2026-01-27,S04,ORD1093,P026,Тушь 576,Косметика,6,74.95,0.13,56.91
2026-01-10,S02,ORD1093,P030,Учебник 722,Книги,2,139.94,0.07,70.51
2026-01-08,S01,ORD1094,P010,Сыр 218,Продукты,2,104.1,0.25,46.52
2026-01-26,S04,ORD1094,P029,Джинсы 267,Одежда,8,103.23,0.04,65.05
2026-01-10,S05,ORD1094,P020,Сыр 852,Продукты,3,72.4,0.21,41.59
2026-01-17,S01,ORD1094,P007,Планшет 460,Электроника,8,525.38,0.22,335.42
2026-01-04,S04,ORD1095,P028,Фрукты 831,Продукты,1,159.94,0.15,74.65
2026-01-19,S03,ORD1095,P012,Кукла 282,Игрушки,6,168.51,0.29,95.39
2026-01-03,S02,ORD1095,P030,Учебник 722,Книги,10,139.86,0.02,70.51
2026-01-17,S06,ORD1095,P002,Велосипед 20,Спорттовары,2,166.13,0.25,70.77
2026-01-16,S01,ORD1095,P019,Ракетка 236,Спорттовары,9,40.17,0.23,29.35
2026-01-27,S05,ORD1095,P011,Тушь 581,Косметика,4,132.96,0.19,64.99
2026-01-07,S01,ORD1095,P012,Кукла 282,Игрушки,10,169.56,0.21,95.39
2026-01-18,S04,ORD1095,P002,Велосипед 20,Спорттовары,8,163.54,0.05,70.77
2026-01-05,S06,ORD1096,P028,Фрукты 831,Продукты,1,156.27,0.05,74.65
2025-12-31,S03,ORD1096,P009,Ракетка 885,Спорттовары,3,131.63,0.28,64.37
2026-01-20,S01,ORD1096,P004,Учебник 814,Книги,2,111.46,0.09,46.39
2026-01-27,S06,ORD1096,P008,Планшет 671,Электроника,5,171.0,0.01,106.93
2026-01-20,S04,ORD1096,P008,Планшет 671,Электроника,4,181.85,0.26,106.93
